,Neighborhood,Price($),Style,Sq. Ft.,Fire?
0,SawyerW,162000,2 Story,1400,No
1,CollgCr,195000,2 Story,1660,No
2,Crawfor,164000,Other,1646,Yes
3,NridgHt,417500,1 Story,2464,Yes
4,SawyerW,186800,1 Story,1400,No
5,OldTown,135000,Other,1656,No
6,NridgHt,250000,2 Story,1828,No
7,NridgHt,552000,1 Story,2492,Yes
8,Somerst,255000,1 Story,1636,Yes
9,NridgHt,451950,2 Story,2296,Yes
10,CollgCr,167000,2 Story,1536,No
11,OldTown,96900,2 Story,1376,No
12,NridgHt,309000,2 Story,2452,Yes
13,NAmes,145500,1 Story,1053,No
14,StoneBr,535000,2 Story,2698,Yes
15,Crawfor,257000,2 Story,2315,Yes
16,Edwards,100000,Other,1204,No
17,CollgCr,204750,2 Story,1786,No
18,NAmes,153000,1 Story,1297,Yes
19,NridgHt,360000,1 Story,1944,Yes
20,NWAmes,205000,2 Story,1964,Yes
21,NAmes,136000,2 Story,1792,No
22,CollgCr,150500,1 Story,1040,No
23,Edwards,145000,Other,1072,No
24,Blmngtn,210250,1 Story,1364,Yes
25,Edwards,415000,Other,3672,Yes
26,NWAmes,175500,1 Story,1422,Yes
27,SWISU,159434,Other,1520,No
28,CollgCr,275000,2 Story,2439,Yes
29,SawyerW,151000,1 Story,1217,No
30,Edwards,107000,Other,1117,Yes
31,Gilbert,187500,2 Story,1604,Yes
32,NPkVill,142500,1 Story,1055,No
33,BrDale,116000,2 Story,1030,No
34,Mitchel,215000,1 Story,1392,Yes
35,CollgCr,254750,2 Story,2184,Yes
36,OldTown,89471,1 Story,1131,No
37,OldTown,139500,2 Story,1627,No
38,NridgHt,196000,1 Story,1306,Yes
39,NAmes,139000,1 Story,1196,Yes
40,Somerst,207500,1 Story,1550,No
41,MeadowV,79500,2 Story,1092,No
42,NridgHt,322400,1 Story,1694,Yes
43,SawyerW,189000,2 Story,1845,Yes
44,NAmes,140000,1 Story,1375,Yes
45,Edwards,167000,1 Story,1486,No
46,Somerst,265000,2 Story,2443,Yes
47,NWAmes,181900,1 Story,1260,No
48,Mitchel,130500,1 Story,816,Yes
49,StoneBr,170000,1 Story,1088,No
50,Somerst,147400,2 Story,1223,No
51,ClearCr,134432,Other,1588,Yes
52,NoRidge,334000,2 Story,2826,Yes
53,BrkSide,165000,Other,1376,No
54,Edwards,179000,1 Story,1200,No
55,NWAmes,176000,2 Story,1479,Yes
56,NWAmes,235000,1 Story,2064,Yes
57,NridgHt,385000,1 Story,2084,Yes
58,OldTown,119000,Other,1251,No
59,Sawyer,129000,1 Story,912,No
60,ClearCr,230000,2 Story,1981,Yes
61,IDOTRR,55000,2 Story,1092,No
62,Sawyer,119500,Other,1654,No
63,IDOTRR,139000,Other,1638,No
64,OldTown,157000,2 Story,1762,No
65,OldTown,155000,Other,1436,Yes
66,Sawyer,175000,Other,1464,Yes
67,Somerst,405749,2 Story,2640,Yes
68,Timber,202000,1 Story,1403,No
69,SawyerW,139500,1 Story,1142,No
70,Somerst,221500,1 Story,1595,Yes
71,Gilbert,169000,2 Story,2320,Yes
72,Timber,220000,1 Story,1296,No
73,NAmes,110000,1 Story,858,No
74,Gilbert,167800,2 Story,1490,Yes
75,BrkSide,128000,2 Story,1362,No
76,OldTown,111500,Other,1951,No
77,IDOTRR,116500,2 Story,1330,No
78,NoRidge,745000,2 Story,4476,Yes
79,Gilbert,176000,2 Story,1414,Yes
80,Crawfor,194000,Other,1717,Yes
81,NAmes,136300,Other,1775,No
82,NAmes,101800,1 Story,1224,No
83,SawyerW,209000,2 Story,2559,Yes
84,Gilbert,171925,2 Story,1495,Yes
85,Crawfor,210000,2 Story,1801,Yes
86,Mitchel,80000,1 Story,1608,No
87,Edwards,108000,2 Story,1510,Yes
88,OldTown,98000,2 Story,1344,No
89,Sawyer,129000,1 Story,1037,No
90,NAmes,156500,1 Story,1478,Yes
91,CollgCr,155900,1 Story,848,Yes
92,NAmes,172000,1 Story,1329,No
93,Gilbert,169985,2 Story,1492,No
94,SawyerW,132000,1 Story,1131,No
95,Edwards,82500,1 Story,1152,No
96,Gilbert,173000,1 Story,1167,No
97,Sawyer,142000,1 Story,912,No
98,NAmes,132000,1 Story,1268,Yes
99,NAmes,90000,1 Story,1040,No
100,NAmes,159500,1 Story,1580,Yes
101,NridgHt,194700,1 Story,1362,Yes
102,NAmes,133000,1 Story,1104,No
103,OldTown,110000,Other,1284,No
104,BrkSide,137500,2 Story,1513,No
105,CollgCr,246900,1 Story,1341,Yes
106,NridgHt,345474,1 Story,2122,Yes
107,OldTown,114000,2 Story,1039,No
108,Crawfor,198000,1 Story,1696,Yes
109,NWAmes,230000,2 Story,2288,Yes
110,CollgCr,117000,1 Story,875,No
111,Crawfor,96500,Other,789,No
112,OldTown,325000,Other,2775,Yes
113,NridgHt,317000,2 Story,2473,Yes
114,Sawyer,136500,1 Story,1768,No
115,OldTown,104000,Other,2229,No
116,NWAmes,240050,2 Story,2411,Yes
117,NAmes,128000,1 Story,1180,No
118,ClearCr,187500,2 Story,2087,No
119,OldTown,90000,2 Story,2337,No
120,OldTown,128000,Other,1484,Yes
121,IDOTRR,89500,Other,1406,No
122,Crawfor,203135,Other,1652,No
123,Somerst,345000,2 Story,2393,Yes
124,GrnHill,330000,1 Story,1502,Yes
125,CollgCr,193000,2 Story,1790,No
126,OldTown,110500,1 Story,866,No
127,Sawyer,148000,Other,1138,Yes
128,NridgHt,212500,1 Story,1358,Yes
