Rental,Age,Expenses,Vacancy,Sqft
13.5,1,5.02,14,123000
12,14,8.19,27,104079
10.5,16,3,0,39998
15,4,10.7,5,57112
14,11,8.97,7,60000
10.5,15,9.45,24,101385
14,2,8,19,31300
16.5,1,6.62,60,248172
17.5,1,6.2,0,215000
16.5,8,11.78,3,251015
17,12,14.62,8,291264
16.5,2,11.55,3,207549
16,2,9.63,0,82000
16.5,13,12.99,4,359665
17.225,2,12.01,3,265500
17,1,12.01,0,299000
16,1,7.99,14,189258
14.625,12,10.33,12,366013
14.5,16,10.67,0,349930
14.5,3,9.45,3,85335
16.5,6,12.65,13,235932
16.5,3,12.08,0,130000
15,3,10.52,5,40500
15,3,9.47,0,40500
13,14,11.62,0,45959
12.5,1,5,33,120000
14,15,9.89,5,81243
13.75,16,11.13,6,153947
14,2,7.96,22,97321
15,16,10.73,9,276099
13.75,2,7.95,0,90000
15.625,3,9.1,0,184000
15.625,3,12.05,3,184718
13,16,8.43,4,96000
14,16,10.6,4,106350
15.25,13,10.55,10,135512
16.25,1,5.5,21,180000
13,14,8.53,3,315000
14.5,3,9.04,4,42500
11.5,15,8.2,0,30005
14.25,1,6.13,0,60000
15.5,15,8.32,0,73521
12,1,4,0,50000
14.25,15,10.1,0,50724
14,3,5.25,16,31750
16.5,3,11.62,0,168000
14.5,4,5.31,0,70000
15.5,1,5.75,0,27000
16.75,4,12.46,3,129614
16.75,4,12.75,0,129614
16.75,2,12.75,0,130000
16.75,2,11.38,0,209000
17,1,5.99,57,220000
16,2,11.37,27,60000
14.5,3,10.38,0,110000
15,15,10.77,5,101206
15,17,11.3,0,288847
16,1,7.06,14,105000
15.5,14,12.1,5,276425
15.25,2,10.04,6,33000
16.5,1,4.99,73,210000
19.25,0,7.33,22,240000
17.75,18,12.11,0,281552
18.75,16,12.86,0,421000
19.25,13,12.7,4,484290
14,20,11.58,0,234493
14,18,11.58,3,230675
18,16,12.97,8,296966
13.75,1,4.82,0,32000
15,2,9.75,3,38533
15.5,16,10.36,2,109912
15.9,1,8.13,23,236000
15.25,15,13.23,5,243338
15.5,4,10.57,4,122183
14.75,20,11.22,0,128268
15,3,10.34,0,72000
14.5,3,10.67,0,43404
13.5,18,8.6,8,59443
15,15,11.97,14,254700
15.25,11,11.27,3,434746
14.5,14,12.68,3,201930
